nodes,edges,depth,max_breadth,mean_breadth,graph_id
39,38,5,10,2.533333333333333,15103.pkl
33,32,5,10,2.2857142857142856,13760.pkl
30,29,4,10,2.6363636363636362,16655.pkl
307,306,7,52,3.2903225806451615,8337.pkl
23,22,3,9,2.2,30053.pkl
14,13,3,11,4.333333333333333,28295.pkl
56,55,5,19,2.2916666666666665,10436.pkl
351,350,5,27,3.1818181818181817,5589.pkl
10,9,2,8,4.5,31378.pkl
114,113,6,19,2.6904761904761907,24424.pkl
183,182,7,18,2.493150684931507,24907.pkl
407,406,11,29,2.431137724550898,3171.pkl
183,182,9,12,2.5277777777777777,30274.pkl
57,56,5,15,2.24,15787.pkl
39,38,4,15,2.7142857142857144,27396.pkl
50,49,5,22,2.8823529411764706,17222.pkl
85,84,5,17,2.625,6949.pkl
116,115,7,19,2.875,15727.pkl
61,60,5,15,2.608695652173913,30743.pkl
34,33,4,15,2.5384615384615383,31390.pkl
40,39,5,12,2.4375,15489.pkl
151,150,7,34,2.0547945205479454,28219.pkl
69,68,6,21,2.3448275862068964,8776.pkl
63,62,5,15,2.8181818181818183,15573.pkl
46,45,5,14,2.8125,16473.pkl
69,68,7,11,2.4285714285714284,30103.pkl
57,56,5,10,2.24,18046.pkl
11,10,2,9,5.0,29877.pkl
37,36,5,16,2.4,4013.pkl
82,81,5,29,2.53125,13237.pkl
28,27,4,8,2.25,7873.pkl
23,22,5,5,1.6923076923076923,31205.pkl
51,50,6,12,1.9230769230769231,27032.pkl
19,18,3,9,3.6,31674.pkl
370,369,8,12,2.6739130434782608,28455.pkl
