nodes,edges,depth,max_breadth,mean_breadth,graph_id
11,10,7,2,1.25,fe56eg.pkl
6,5,2,4,2.5,fjf8qu.pkl
10,9,7,3,1.2857142857142858,g67rah.pkl
9,8,3,3,1.6,gcmiov.pkl
20,19,5,8,1.9,f1mhqq.pkl
13,12,3,6,2.4,f99n32.pkl
6,5,2,3,2.5,f0lqfd.pkl
15,14,3,6,3.5,fcepg7.pkl
10,9,5,3,1.2857142857142858,gfrad9.pkl
15,14,2,12,4.666666666666667,eq8wwo.pkl
10,9,3,6,2.25,gdajc0.pkl
10,9,3,6,3.0,g92mw3.pkl
15,14,5,6,1.75,fxnxkt.pkl
10,9,2,7,3.0,g5bkb0.pkl
15,14,5,3,1.75,ff3nr6.pkl
10,9,2,5,2.25,ghnfek.pkl
15,14,4,8,2.8,fd3yw1.pkl
10,9,5,5,1.8,g5co53.pkl
10,9,4,6,2.25,giic3y.pkl
10,9,3,4,1.8,ghi0qk.pkl
6,5,3,3,1.6666666666666667,gabpx7.pkl
10,9,4,5,1.8,gfe692.pkl
10,9,2,7,3.0,geotk6.pkl
6,5,3,2,1.6666666666666667,gixn5g.pkl
5,4,1,4,4.0,gio0qv.pkl
10,9,3,7,3.0,g8nesr.pkl
10,9,2,5,2.25,gcwhgk.pkl
15,14,3,10,2.8,fbwvp5.pkl
15,14,2,13,7.0,fayeye.pkl
7,6,4,2,1.2,f1kilr.pkl
15,14,3,8,2.0,f981s7.pkl
10,9,2,8,4.5,gi9mxk.pkl
20,19,5,11,2.375,f0ekry.pkl
10,9,3,4,1.8,gcbyz8.pkl
10,9,3,6,2.25,gjxwe7.pkl
10,9,4,5,2.25,g7ldo4.pkl
15,14,2,13,7.0,f8c7l4.pkl
15,14,2,12,4.666666666666667,feqdy5.pkl
10,9,5,3,1.2857142857142858,gbc90g.pkl
10,9,2,5,2.25,ggioqs.pkl
15,14,3,6,2.0,f6yki8.pkl
6,5,2,3,1.6666666666666667,gaxziu.pkl
10,9,3,3,1.2857142857142858,gbe1mh.pkl
15,14,4,6,2.0,fgi55f.pkl
10,9,3,7,3.0,ghhuit.pkl
10,9,3,7,3.0,ggmrp0.pkl
10,9,1,9,9.0,g8nsly.pkl
15,14,4,6,2.0,fh2gtz.pkl
10,9,2,6,2.25,gh1ijl.pkl
7,6,1,6,6.0,ffd1mt.pkl
10,9,3,5,1.8,ga3s6n.pkl
10,9,2,6,2.25,gjzxsu.pkl
10,9,3,4,1.5,gc3es4.pkl
10,9,3,6,3.0,gkl0nh.pkl
6,5,2,4,2.5,eow6hl.pkl
10,9,2,7,3.0,gi7x0x.pkl
15,14,3,10,2.8,f88v8t.pkl
8,7,2,6,3.5,ff1gyk.pkl
10,9,2,7,3.0,g5beus.pkl
3,2,1,2,2.0,g9bbvy.pkl
15,14,3,9,3.5,g0zoif.pkl
6,5,2,3,1.6666666666666667,f6z8pq.pkl
8,7,2,6,3.5,felr61.pkl
10,9,3,4,3.0,g6ln5o.pkl
10,9,3,6,2.25,gcd6n1.pkl
10,9,2,6,2.25,gi75i0.pkl
10,9,2,7,3.0,gkvnj1.pkl
10,9,3,5,1.8,g8rjul.pkl
15,14,4,6,2.3333333333333335,f9dzvf.pkl
10,9,2,8,4.5,gf32rd.pkl
10,9,2,7,3.0,gm1o2q.pkl
15,14,2,12,4.666666666666667,fa2msa.pkl
10,9,2,8,4.5,g8fvm5.pkl
10,9,5,4,1.5,g8pd33.pkl
15,14,3,11,3.5,f57n7l.pkl
15,14,6,4,1.5555555555555556,fxru73.pkl
10,9,3,5,1.8,gdl5r0.pkl
10,9,2,8,4.5,gesku8.pkl
20,19,3,14,3.8,f1smmx.pkl
10,9,3,5,1.8,g8ct6o.pkl
10,9,3,4,2.25,gaa71f.pkl
10,9,4,3,1.5,gezlks.pkl
23,22,3,12,2.75,eydd8g.pkl
19,18,5,7,1.8,f201z2.pkl
10,9,3,4,1.8,g8uuyl.pkl
10,9,3,4,1.5,ghgbft.pkl
15,14,4,6,2.0,fgk2jd.pkl
10,9,3,4,1.8,gi8yhf.pkl
3,2,1,2,2.0,g4zh01.pkl
10,9,3,6,2.25,gaqedl.pkl
10,9,3,5,1.8,gdbtgh.pkl
12,11,3,6,1.8333333333333333,fbi9d4.pkl
10,9,1,9,9.0,ga6amo.pkl
20,19,3,13,3.8,f2p46e.pkl
10,9,2,6,3.0,gjaaga.pkl
10,9,3,6,2.25,gii09q.pkl
10,9,3,4,2.25,gbdzan.pkl
10,9,6,3,1.2857142857142858,gjaqi4.pkl
10,9,3,4,2.25,gj7hhh.pkl
10,9,3,7,3.0,gjmcme.pkl
10,9,5,2,1.2857142857142858,gh920z.pkl
10,9,2,6,2.25,ga60xp.pkl
15,14,3,10,3.5,f8kthn.pkl
9,8,5,2,1.6,fbn1kh.pkl
15,14,2,11,4.666666666666667,fha4fo.pkl
15,14,3,9,2.8,fwjfjt.pkl
15,14,5,6,2.3333333333333335,fiu9zm.pkl
10,9,3,7,3.0,gg9h6k.pkl
10,9,7,2,1.125,gf3kel.pkl
10,9,2,7,3.0,gljmb5.pkl
15,14,2,10,2.8,fjc03l.pkl
10,9,4,4,1.5,gbgd8r.pkl
2,1,1,1,1.0,fek8hm.pkl
20,19,6,8,2.111111111111111,f16fns.pkl
10,9,2,8,4.5,geiv15.pkl
10,9,3,4,2.25,gj09ys.pkl
3,2,2,1,1.0,fi3kxx.pkl
10,9,3,7,3.0,gm391b.pkl
15,14,4,4,2.3333333333333335,fijwoh.pkl
10,9,2,7,3.0,g9wh6b.pkl
15,14,4,7,2.0,fwnypf.pkl
15,14,3,8,2.0,felm6k.pkl
10,9,3,7,3.0,g6sr11.pkl
10,9,2,5,2.25,giuu01.pkl
10,9,1,9,9.0,gge728.pkl
10,9,4,5,1.8,gk39nk.pkl
10,9,3,4,2.25,g5fey6.pkl
15,14,6,5,1.5555555555555556,fezxdn.pkl
10,9,2,8,4.5,g70ve0.pkl
10,9,2,8,4.5,glp4t2.pkl
6,5,4,2,1.25,g7lezq.pkl
10,9,2,7,3.0,gjti75.pkl
15,14,6,6,1.75,fgf21z.pkl
2,1,1,1,1.0,galy3x.pkl
15,14,5,7,1.75,f7oq6y.pkl
10,9,2,4,3.0,g5x02q.pkl
10,9,3,4,1.8,g68ziv.pkl
15,14,4,6,1.75,favwp3.pkl
10,9,3,7,3.0,gftfzu.pkl
10,9,6,2,1.2857142857142858,gdkz5f.pkl
2,1,1,1,1.0,gh015m.pkl
15,14,5,4,1.2727272727272727,f70v05.pkl
9,7,4,2,1.4,gh4ghr.pkl
12,11,3,5,2.2,evhhcj.pkl
7,6,2,3,2.0,f7bya7.pkl
15,14,3,8,2.8,fb72fe.pkl
10,9,3,7,3.0,gijq9b.pkl
15,14,4,8,2.0,fj3snt.pkl
15,14,2,12,7.0,f6vq3d.pkl
7,6,5,2,1.2,ghntra.pkl
3,2,1,2,2.0,fcc7r0.pkl
10,9,3,5,1.8,givcu0.pkl
10,9,2,5,3.0,glw8h9.pkl
9,8,2,4,2.0,g5ftz8.pkl
10,9,4,5,1.8,g857an.pkl
10,9,3,4,1.8,gl905w.pkl
15,14,6,3,1.4,fhwng2.pkl
10,9,2,4,3.0,g7076h.pkl
10,9,1,9,9.0,g87l33.pkl
10,9,3,3,2.25,g7us1c.pkl
15,14,8,5,1.4,f81ozc.pkl
15,14,3,9,2.8,fhjpus.pkl
6,5,2,3,2.5,g76ocj.pkl
5,4,1,4,4.0,f30hj3.pkl
3,2,1,2,2.0,fhmtyf.pkl
15,14,3,10,2.8,fie6l4.pkl
10,9,2,6,2.25,g5zr7g.pkl
10,9,4,4,1.8,ggbszd.pkl
3,2,2,1,1.0,feg912.pkl
10,9,3,4,1.8,g5hbt0.pkl
5,4,2,3,2.0,gb6x2j.pkl
4,3,2,2,1.5,fehqtf.pkl
6,5,1,5,5.0,f9k3rq.pkl
10,9,2,5,2.25,gab5w8.pkl
9,8,2,6,2.6666666666666665,fj7z8c.pkl
10,9,4,4,1.8,f2dgu5.pkl
10,9,4,4,1.8,gbw3tn.pkl
20,19,3,9,2.375,f0zyt4.pkl
6,5,3,2,1.25,dkq49j.pkl
10,9,4,5,1.8,g6zddi.pkl
15,14,3,7,2.3333333333333335,fdn8pz.pkl
10,9,3,6,3.0,gec79c.pkl
10,9,4,3,1.5,gf09ij.pkl
10,9,2,7,4.5,ggo8ma.pkl
10,9,3,6,3.0,gb2cnw.pkl
2,1,1,1,1.0,fc235h.pkl
10,9,3,6,2.25,g8zndp.pkl
15,14,3,10,2.8,f6estf.pkl
10,9,3,6,3.0,gcr6d4.pkl
2,1,1,1,1.0,febajs.pkl
10,9,2,7,3.0,gbaadq.pkl
10,9,1,9,9.0,glqbwd.pkl
15,14,3,8,2.3333333333333335,eycknl.pkl
10,9,3,5,1.8,g6mjng.pkl
20,19,6,4,1.7272727272727273,ezs2l0.pkl
15,14,5,8,2.0,fwv8wd.pkl
10,9,3,6,2.25,gij0he.pkl
3,2,2,1,1.0,fg8pim.pkl
15,14,3,11,3.5,f6klxd.pkl
12,11,3,8,2.75,fw8woy.pkl
10,9,3,4,1.5,gd9b6v.pkl
10,9,2,7,4.5,gi7tt0.pkl
10,9,3,5,2.25,gi70m2.pkl
10,9,3,7,3.0,g62zqj.pkl
10,9,4,4,1.8,gi639c.pkl
10,9,3,4,2.25,ggrpox.pkl
10,9,4,4,2.25,g6thd3.pkl
10,9,6,3,1.2857142857142858,gg2kj9.pkl
10,9,3,6,3.0,giesva.pkl
10,9,3,4,1.5,gf9nf4.pkl
10,9,3,4,2.25,g87o2e.pkl
10,9,3,5,1.8,gbkbx7.pkl
10,9,5,4,1.8,geqc05.pkl
15,14,3,10,3.5,fhjp4e.pkl
10,9,4,4,1.5,gg19sz.pkl
10,9,2,8,4.5,f7y0pt.pkl
6,5,2,4,2.5,gb4xrt.pkl
15,14,2,10,3.5,fg4poz.pkl
15,14,4,6,2.0,fzzzwk.pkl
10,9,4,3,1.2857142857142858,g6bik8.pkl
10,9,2,8,4.5,g9x7dp.pkl
15,14,2,11,4.666666666666667,et136s.pkl
6,5,1,5,5.0,fg0cak.pkl
10,9,3,4,1.8,gjmfvs.pkl
10,9,2,8,4.5,g7hrmd.pkl
20,19,4,7,2.111111111111111,f1j5kc.pkl
15,14,3,8,2.3333333333333335,ffwwzg.pkl
15,14,3,6,2.3333333333333335,fj4voa.pkl
10,9,2,4,2.25,gco50e.pkl
10,9,2,6,2.25,ghnmjz.pkl
10,9,2,6,3.0,gbyp5l.pkl
15,14,2,10,2.8,f9e6dz.pkl
15,14,3,11,3.5,fgby9w.pkl
15,14,4,8,2.3333333333333335,f7nn5m.pkl
15,14,3,12,4.666666666666667,f7pbol.pkl
4,3,1,3,3.0,g5xbwj.pkl
5,4,3,2,1.3333333333333333,f9s4su.pkl
10,9,4,5,2.25,ggvpb1.pkl
10,9,4,2,1.5,gdfycs.pkl
10,9,2,7,4.5,gjjidt.pkl
10,9,3,4,2.25,gjly56.pkl
10,9,2,8,4.5,ggcjoe.pkl
12,11,1,11,11.0,fh2498.pkl
10,9,2,6,2.25,g79bj5.pkl
10,9,4,5,1.8,gatbey.pkl
3,2,1,2,2.0,g8roii.pkl
10,9,3,6,2.25,ggfr6v.pkl
10,9,2,8,4.5,gfqd46.pkl
9,8,2,6,2.6666666666666665,g8woav.pkl
10,9,2,5,1.8,ga9i33.pkl
10,9,3,7,3.0,g8px2x.pkl
10,9,2,8,4.5,gap8l6.pkl
9,8,5,3,1.3333333333333333,g5hyuh.pkl
10,9,2,6,2.25,gl0lgq.pkl
10,9,3,5,2.25,gi4im0.pkl
15,14,3,10,3.5,fai0vw.pkl
10,9,3,4,2.25,gd6m7p.pkl
10,9,2,7,3.0,gfgmr2.pkl
10,9,3,6,2.25,gfteku.pkl
8,7,1,7,7.0,f5zbn7.pkl
14,13,4,6,1.625,f7icno.pkl
10,9,4,5,1.8,gail3k.pkl
10,9,6,2,1.125,gf8uxm.pkl
15,14,3,8,2.3333333333333335,fhi0ot.pkl
16,15,3,9,2.142857142857143,exoxn7.pkl
10,9,4,3,1.5,gb14bl.pkl
10,9,2,6,2.25,glx3tr.pkl
10,9,3,3,2.25,gcusey.pkl
10,9,3,4,2.25,g5zsb4.pkl
10,9,4,3,1.5,gedbbx.pkl
3,2,1,2,2.0,gjmrg2.pkl
10,9,3,4,1.5,ga4zsx.pkl
10,9,2,8,4.5,gc7qoh.pkl
6,5,3,3,1.6666666666666667,gjv8cu.pkl
15,14,5,7,2.3333333333333335,fbttvh.pkl
8,7,3,4,1.75,et8xdt.pkl
10,9,2,7,3.0,g7t2pg.pkl
10,9,4,5,2.25,gfm9n6.pkl
10,9,3,7,3.0,g8n3jy.pkl
10,9,3,4,1.8,gc5sdr.pkl
10,9,7,2,1.125,g5q3s3.pkl
10,9,3,4,1.8,gmef68.pkl
10,9,6,2,1.125,g7d04w.pkl
15,14,2,12,4.666666666666667,fzqv9v.pkl
7,6,5,2,1.2,fjlr9o.pkl
15,14,3,7,2.0,f76vuq.pkl
30,29,3,7,2.6363636363636362,ey81ie.pkl
15,14,3,10,2.8,fhnxfz.pkl
10,9,3,6,3.0,gbcmcr.pkl
15,14,3,6,3.5,f80f3f.pkl
10,9,2,6,2.25,gct6mt.pkl
10,9,2,8,4.5,gftlfv.pkl
15,14,7,3,1.2727272727272727,fcbw9c.pkl
2,1,1,1,1.0,gaj2ks.pkl
10,9,2,8,4.5,g7un7k.pkl
11,10,5,4,2.0,fg02h1.pkl
15,14,4,7,2.0,f9dv1u.pkl
10,9,3,7,3.0,gfuiup.pkl
15,14,5,7,2.0,fdwcvd.pkl
10,9,5,3,1.5,gks74y.pkl
6,5,1,5,5.0,gluhui.pkl
10,9,1,9,9.0,gaibpp.pkl
10,9,3,6,3.0,g7po7d.pkl
3,2,1,2,2.0,gf6fsr.pkl
10,9,4,5,1.8,gedafj.pkl
10,9,3,4,3.0,givzyk.pkl
10,9,2,8,4.5,gc9qtq.pkl
10,9,2,6,2.25,g67duu.pkl
24,23,3,13,2.875,ez7c1n.pkl
10,9,2,8,4.5,ghiwa5.pkl
5,4,3,2,1.3333333333333333,g79dft.pkl
20,19,7,10,2.375,f16m4g.pkl
10,9,4,3,1.5,gk254m.pkl
20,19,2,16,4.75,f2jpzc.pkl
10,9,3,6,2.25,gkipwg.pkl
10,9,3,6,3.0,gf4t31.pkl
15,14,2,12,4.666666666666667,fioqbe.pkl
15,14,4,7,2.0,fi8rtm.pkl
14,13,3,9,2.6,fbpfbm.pkl
9,8,5,4,1.6,f1aftc.pkl
10,9,4,6,2.25,gl7zc6.pkl
2,1,1,1,1.0,g5gsvz.pkl
15,14,2,11,3.5,exuuqo.pkl
10,9,5,2,1.125,gl64m0.pkl
10,9,4,4,1.5,gfhkuw.pkl
15,14,2,12,4.666666666666667,fcg2zv.pkl
6,5,3,3,1.6666666666666667,g6tpdo.pkl
15,14,3,8,2.0,feb7en.pkl
10,9,3,6,2.25,gfuh1h.pkl
3,2,2,1,1.0,f5f00i.pkl
3,2,2,1,1.0,gi7xv1.pkl
10,9,2,7,4.5,g7drug.pkl
10,9,3,5,2.25,g93pow.pkl
10,9,6,2,1.5,gld3fj.pkl
4,3,1,3,3.0,f01jvp.pkl
15,14,2,12,4.666666666666667,fdgvni.pkl
15,14,3,11,3.5,fj6vz5.pkl
10,9,2,8,4.5,gfbtdk.pkl
15,14,4,7,2.0,fc7r3d.pkl
10,9,3,5,2.25,gbfv3l.pkl
10,9,2,7,3.0,gkp5tf.pkl
10,9,4,5,1.8,gm4pwa.pkl
10,9,6,4,1.5,fv2klh.pkl
10,9,3,6,2.25,geh4bw.pkl
10,9,2,6,3.0,glunf6.pkl
10,9,3,5,1.8,gel9ph.pkl
9,8,2,4,2.6666666666666665,gbmf5k.pkl
15,14,5,5,1.5555555555555556,fbnidp.pkl
10,9,3,6,3.0,gehtgf.pkl
10,9,7,3,1.2857142857142858,gk5lc7.pkl
15,14,4,9,2.3333333333333335,fb0xex.pkl
10,9,5,3,1.5,gj4let.pkl
6,5,3,3,1.6666666666666667,f9bd9q.pkl
10,9,3,3,1.8,g6814p.pkl
15,14,10,2,1.1666666666666667,fdfo3o.pkl
10,9,4,5,2.25,gecgw6.pkl
10,9,2,5,2.25,fanl7x.pkl
8,7,3,4,1.75,fvutyy.pkl
10,9,4,6,2.25,gipo8g.pkl
7,6,3,3,1.5,ff895p.pkl
15,14,1,14,14.0,g0v8ah.pkl
10,9,5,3,1.5,gjlqwn.pkl
10,9,3,7,3.0,gl2huf.pkl
3,2,1,2,2.0,fdlg0f.pkl
11,10,2,9,5.0,fzmwhg.pkl
2,1,1,1,1.0,f7gr41.pkl
10,9,3,5,1.8,g5z8cc.pkl
15,14,3,7,2.3333333333333335,fz9mli.pkl
10,9,4,2,1.2857142857142858,gim0r3.pkl
10,9,2,6,2.25,g9w9kv.pkl
9,8,4,3,1.3333333333333333,ffogqg.pkl
10,9,3,6,2.25,g8nsli.pkl
10,9,3,3,1.5,gabuj8.pkl
12,11,2,7,2.2,fb5wiv.pkl
15,14,3,5,2.0,fbz02k.pkl
10,9,3,4,1.5,fex952.pkl
10,9,3,6,2.25,g86f4t.pkl
4,3,2,2,1.5,g51192.pkl
10,9,5,3,1.2857142857142858,gbgjb0.pkl
4,3,3,1,1.0,exs4di.pkl
15,14,3,7,2.3333333333333335,f1j6zu.pkl
10,9,2,6,2.25,gjtbfj.pkl
10,9,4,4,1.5,g8rp8a.pkl
10,9,3,5,1.8,gm2083.pkl
10,9,2,6,2.25,gm5ck5.pkl
10,9,1,9,9.0,gk57pq.pkl
10,9,4,3,1.5,gbfbqf.pkl
10,9,3,4,2.25,eyxf5b.pkl
4,3,2,2,1.5,fc8nka.pkl
20,19,4,4,1.7272727272727273,f18ycj.pkl
4,3,2,2,1.5,g0vcpv.pkl
10,9,3,6,2.25,g8owmw.pkl
20,19,4,8,2.111111111111111,f2xned.pkl
10,9,2,8,4.5,gakxib.pkl
10,9,4,6,2.25,g7a5pl.pkl
10,9,4,2,1.2857142857142858,gjfygy.pkl
10,9,3,5,2.25,gbs7d4.pkl
10,9,3,4,2.25,g6on7x.pkl
22,21,3,11,1.9090909090909092,ez48me.pkl
15,14,5,6,1.75,fjnwpw.pkl
10,9,3,7,3.0,gdjq8w.pkl
10,9,3,5,1.8,gbjer2.pkl
10,9,1,9,9.0,ghd2zh.pkl
9,8,2,6,2.6666666666666665,f7e6ck.pkl
10,9,5,2,1.125,g92740.pkl
10,9,4,5,2.25,gic42b.pkl
10,9,4,4,1.5,g84usv.pkl
15,14,3,10,2.8,ff0kim.pkl
12,11,4,8,2.75,f6cbo5.pkl
15,14,4,8,2.3333333333333335,fbs3n4.pkl
15,14,3,10,2.8,fd1p5s.pkl
10,9,4,4,1.8,gbg6w2.pkl
10,9,1,9,9.0,gfjcas.pkl
10,9,3,6,2.25,gbzn2g.pkl
15,14,4,10,2.8,fd26s0.pkl
10,9,3,5,2.25,gelyge.pkl
10,9,3,3,1.8,gk1tbq.pkl
15,14,7,3,1.1666666666666667,f55bv7.pkl
10,9,3,3,1.5,g5yiav.pkl
15,14,3,9,2.8,ffvvi8.pkl
15,14,5,3,1.4,fx0j05.pkl
10,9,3,4,1.8,g78q9s.pkl
17,16,6,6,1.7777777777777777,ezyvrg.pkl
31,30,3,16,3.0,eye5dk.pkl
10,9,3,5,1.8,gbdzaq.pkl
18,17,3,11,3.4,f1p4ig.pkl
10,9,3,5,2.25,gfz2xc.pkl
12,11,3,6,1.8333333333333333,ez7i7h.pkl
15,14,3,9,2.8,f7hu50.pkl
12,11,5,6,1.8333333333333333,f0gu2r.pkl
4,3,3,1,1.0,gd0454.pkl
10,9,2,7,3.0,gddowf.pkl
15,14,5,7,2.0,f88vkf.pkl
10,9,3,5,2.25,g8fo2h.pkl
10,9,3,4,1.5,g7f2d2.pkl
5,4,2,3,2.0,g0in3x.pkl
15,14,4,5,1.4,fboibq.pkl
20,19,3,10,2.375,f1ogvf.pkl
7,6,2,5,3.0,fjwyn5.pkl
9,8,3,4,2.6666666666666665,gbhu87.pkl
3,2,1,2,2.0,ffoyzg.pkl
10,9,2,6,3.0,g5v374.pkl
2,1,1,1,1.0,gc208o.pkl
10,9,2,8,4.5,gf2roi.pkl
13,12,2,8,3.0,fecmuv.pkl
10,9,2,6,3.0,gdpzaz.pkl
10,9,2,6,3.0,g7epl9.pkl
15,14,5,3,1.4,fj6jt8.pkl
10,9,5,3,1.2857142857142858,gdkb6l.pkl
10,9,3,5,1.8,ggeia3.pkl
10,9,3,7,3.0,gk81ot.pkl
15,14,5,4,1.75,fxxuny.pkl
10,9,2,4,1.8,gc270o.pkl
15,14,2,11,3.5,f60p1d.pkl
3,2,1,2,2.0,g0u253.pkl
15,14,2,13,7.0,ffzmvb.pkl
3,2,1,2,2.0,fiurmv.pkl
10,9,1,9,9.0,gidrq0.pkl
10,9,1,9,9.0,gkuzg0.pkl
4,3,2,2,1.5,eumkny.pkl
10,9,4,4,1.5,gh2wlx.pkl
8,7,3,5,2.3333333333333335,f1o8lm.pkl
15,14,3,9,4.666666666666667,f6eiop.pkl
10,9,2,8,4.5,gcu57d.pkl
14,13,5,4,1.625,ff9vi8.pkl
15,14,4,4,1.5555555555555556,fhqr9u.pkl
10,9,2,6,3.0,gm04m0.pkl
15,14,2,9,4.666666666666667,f958s2.pkl
10,9,4,5,2.25,ggq2c0.pkl
15,14,3,7,2.0,fdfiol.pkl
10,9,4,4,1.5,ggg9qu.pkl
2,1,1,1,1.0,gigv3o.pkl
15,14,3,11,3.5,fxqdxc.pkl
10,9,5,3,1.5,gg1n02.pkl
2,1,1,1,1.0,foys6m.pkl
15,14,3,10,2.8,f9imt0.pkl
10,9,2,7,4.5,gau5a9.pkl
5,4,2,3,2.0,f2xug1.pkl
15,14,4,6,2.3333333333333335,fb5ubj.pkl
15,14,5,6,1.75,f5faj5.pkl
15,14,2,9,3.5,fyc8jb.pkl
10,9,3,6,2.25,gm99lu.pkl
10,9,3,5,2.25,gg3sfg.pkl
2,1,1,1,1.0,gdz8eg.pkl
10,9,5,3,1.5,gd8w6d.pkl
5,4,2,2,1.3333333333333333,gf34ei.pkl
10,9,1,9,9.0,gbo599.pkl
10,9,3,6,3.0,gl5xsr.pkl
3,2,2,1,1.0,fgd6pa.pkl
10,9,3,4,1.8,g98ove.pkl
14,13,4,9,2.6,fhfvu7.pkl
17,16,3,10,2.2857142857142856,exuuxj.pkl
2,1,1,1,1.0,f2sqdo.pkl
10,9,2,5,2.25,g7k3xr.pkl
9,8,3,4,2.0,g7t6xc.pkl
10,9,3,5,1.8,gm07bs.pkl
15,14,4,5,2.0,farjp5.pkl
10,9,3,7,3.0,gh0r10.pkl
15,14,3,9,2.3333333333333335,fjmll3.pkl
10,9,3,6,2.25,glit9x.pkl
2,1,1,1,1.0,fiokbv.pkl
10,9,2,7,3.0,gl2r92.pkl
3,2,1,2,2.0,fgdeqq.pkl
15,14,2,13,7.0,ffdxdh.pkl
5,4,3,2,1.3333333333333333,fbmf7x.pkl
14,13,2,10,3.25,exulxg.pkl
10,9,2,7,4.5,gg6yxa.pkl
15,14,3,6,1.5555555555555556,fcdo5m.pkl
